1	[4, 4, 3, 3]	-p --exact -w 40 -h 40 --halfplanes 34 0 34 0 30 0 30 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
2	[4, 3, 3, 3]	-p --exact -w 40 -h 40 --halfplanes 30 0 34 0 30 0 30 0 -v 5D --rhull --potential	None	None	None	0	1	1	83
3	[4, 4, 4, 3]	-p --exact -w 40 -h 40 --halfplanes 34 0 34 0 30 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
4	[5, 4, 3, 3]	-p --exact -w 40 -h 40 --halfplanes 34 0 38 0 30 0 30 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
5	[4, 3, 4, 3]	-p --exact -w 40 -h 40 --halfplanes 30 0 34 0 30 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
6	[5, 3, 3, 3]	-p --exact -w 40 -h 40 --halfplanes 30 0 38 0 30 0 30 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
7	[5, 4, 2, 3]	-p --exact -w 40 -h 40 --halfplanes 34 0 38 0 30 0 26 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
8	[4, 4, 3, 2]	-p --exact -w 40 -h 40 --halfplanes 34 0 34 0 26 0 30 0 -v 5D --rhull --potential	None	None	None	0	1	1	82
9	[5, 4, 2, 4]	-p --exact -w 40 -h 40 --halfplanes 38 0 34 0 26 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
10	[5, 5, 3, 2]	-p --exact -w 40 -h 40 --halfplanes 38 0 38 0 26 0 30 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
11	[4, 4, 4, 2]	-p --exact -w 40 -h 40 --halfplanes 34 0 34 0 26 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
12	[5, 4, 3, 2]	-p --exact -w 40 -h 40 --halfplanes 34 0 38 0 26 0 30 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
13	[5, 3, 2, 3]	-p --exact -w 40 -h 40 --halfplanes 30 0 38 0 30 0 26 0 -v 5D --rhull --potential	None	None	None	0	1	1	81
14	[6, 3, 2, 3]	-p --exact -w 40 -h 40 --halfplanes 30 0 42 0 30 0 26 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
15	[5, 5, 2, 2]	-p --exact -w 40 -h 40 --halfplanes 38 0 38 0 26 0 26 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
16	[5, 4, 2, 2]	-p --exact -w 40 -h 40 --halfplanes 34 0 38 0 26 0 26 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
